epoch,num_steps,train_loss,val_loss,train_acc,val_acc,train_precision,val_precision,train_recall,val_recall,train_f1score,val_f1score,train_aucroc,val_aucroc
1,1454,0.7877844287530279,0.6826647847563356,0.530949105914718,0.5934065934065934,0.4099378881987577,0.0,0.3327731092436974,0.0,0.3673469387755101,0.0,0.5004959841911153,0.5
2,1454,0.7408502305418437,0.6778578889238965,0.5405777166437414,0.5934065934065934,0.4116222760290557,0.0,0.2857142857142857,0.0,0.3373015873015873,0.0,0.5014136038583069,0.5
3,1454,0.7323317223086317,0.6784720709035684,0.5577716643741403,0.5934065934065934,0.4433962264150943,0.0,0.3159663865546218,0.0,0.3689892051030422,0.0,0.5206141595171246,0.5
4,1454,0.731695096675906,0.7926966020694146,0.561898211829436,0.4065934065934066,0.45,0.4065934065934066,0.3176470588235294,1.0,0.3724137931034483,0.578125,0.5243648565363281,0.5
5,1454,0.7336413325124421,0.6762828135883415,0.5371389270976616,0.5934065934065934,0.4097222222222222,0.0,0.2974789915966386,0.0,0.3446932814021421,0.0,0.5003110906760841,0.5
6,1454,0.7286516549924011,0.6777058463175218,0.5357634112792297,0.5934065934065934,0.3901098901098901,0.0,0.2386554621848739,0.0,0.2961418143899896,0.0,0.4901077078095499,0.5
7,1454,0.7224832769019588,0.6842045030751072,0.5433287482806052,0.5934065934065934,0.4152334152334152,0.0,0.2840336134453781,0.0,0.3373253493013972,0.0,0.5034836286086029,0.5
8,1454,0.7242313174292588,0.7288523447382581,0.5433287482806052,0.4065934065934066,0.4065040650406504,0.4065934065934066,0.2521008403361344,1.0,0.3112033195020746,0.578125,0.49857661341603,0.5
9,1454,0.7201390357424173,0.6930047678095954,0.5440165061898212,0.5934065934065934,0.415,0.0,0.2789915966386554,0.0,0.3336683417085427,0.0,0.5032909089130413,0.5
10,1454,0.7219120840371639,0.6770112642220089,0.5598349381017882,0.5934065934065934,0.442159383033419,0.0,0.2890756302521008,0.0,0.3495934959349594,0.0,0.5182281527279131,0.5
11,1454,0.7251501324159981,0.6757845649352441,0.53232462173315,0.5934065934065934,0.380281690140845,0.0,0.226890756302521,0.0,0.2842105263157894,0.0,0.4853894992222733,0.5
12,1454,0.7214095596905588,0.6847930969772759,0.5563961485557084,0.5934065934065934,0.4352331606217616,0.0,0.2823529411764706,0.0,0.3425076452599388,0.0,0.514284736013148,0.5
13,1454,0.7243592557657453,0.675863768700715,0.5405777166437414,0.5934065934065934,0.4,0.0,0.2453781512605042,0.0,0.3041666666666666,0.0,0.4952152688782149,0.5
14,1454,0.7292658858477782,0.682244632597808,0.5488308115543329,0.5934065934065934,0.42278481012658226,0.0,0.280672268907563,0.0,0.3373737373737374,0.0,0.5076236781091947,0.5
15,1454,0.7256093144755006,0.6823001651318519,0.5453920220082531,0.5934065934065934,0.4140625,0.0,0.2672268907563025,0.0,0.3248212461695608,0.0,0.5026472055644143,0.5
16,1454,0.7302913428572464,0.7110873965116647,0.5206327372764786,0.5934065934065934,0.3621621621621622,0.0,0.22521008403361345,0.0,0.277720207253886,0.0,0.4752360082566205,0.5
17,1454,0.7152274549673561,0.7059263357749352,0.5591471801925723,0.4065934065934066,0.43882978723404253,0.4065934065934066,0.2773109243697479,1.0,0.33985581874356335,0.578125,0.5158382328484361,0.5
18,1454,0.7227981196360296,0.711190300655889,0.5426409903713892,0.5934065934065934,0.4116161616161616,0.0,0.2739495798319328,0.0,0.32896064581231077,0.0,0.5013519726866299,0.5
19,1454,0.7295881651259928,0.6756094913561266,0.5357634112792297,0.5934065934065934,0.38636363636363635,0.0,0.22857142857142856,0.0,0.2872228088701162,0.0,0.4885581240645269,0.5
