epoch,num_steps,train_loss,val_loss,train_acc,val_acc,train_precision,val_precision,train_recall,val_recall,train_f1score,val_f1score,train_aucroc,val_aucroc
1,1454,0.796294469670732,0.6775163772341969,0.515818431911967,0.5934065934065934,0.3842887473460722,0.0,0.3042016806722689,0.0,0.3395872420262664,0.0,0.4832999090206513,0.5
2,1454,0.7521336471208434,0.7163584178293144,0.5412654745529574,0.5934065934065934,0.4170506912442396,0.0,0.3042016806722689,0.0,0.3517978620019436,0.0,0.5048365795677993,0.5
3,1454,0.7366308059128311,0.7360349549696996,0.546767537826685,0.5934065934065934,0.4183673469387755,0.0,0.2756302521008403,0.0,0.3323201621073962,0.0,0.5051026697058334,0.5
4,1454,0.7427093995122708,0.7742750857557569,0.5302613480055021,0.5934065934065934,0.3871794871794872,0.0,0.253781512605042,0.0,0.3065989847715736,0.0,0.4877755060114849,0.5
5,1454,0.733090549033581,0.7425023441786295,0.546767537826685,0.4065934065934066,0.4207920792079208,0.4065934065934066,0.2857142857142857,1.0,0.3403403403403403,0.578125,0.5066522534508564,0.5
6,1454,0.747664083907332,0.7036475899455311,0.5254470426409904,0.4065934065934066,0.37467018469656993,0.4065934065934066,0.23865546218487396,1.0,0.29158110882956884,0.578125,0.4813766251553008,0.5
7,1454,0.731656957535583,0.6854235163101783,0.5385144429160935,0.5934065934065934,0.39617486338797814,0.0,0.24369747899159663,0.0,0.30176899063475543,0.0,0.4932107883898612,0.5
8,1454,0.7212607831306028,0.7096930280491546,0.5584594222833562,0.4065934065934066,0.43799472295514513,0.4065934065934066,0.27899159663865547,1.0,0.3408624229979466,0.578125,0.5155144246289901,0.5
9,1454,0.7174258968514868,0.7446240743437966,0.5508940852819807,0.4065934065934066,0.4236842105263158,0.4065934065934066,0.27058823529411763,1.0,0.3302564102564102,0.578125,0.5078203108950216,0.5
10,1454,0.7310150801018392,0.6772536409425212,0.5433287482806052,0.5934065934065934,0.4108527131782946,0.0,0.2672268907563025,0.0,0.32382892057026474,0.0,0.5009009890335645,0.5
11,1454,0.7220214147125839,0.6755957341456151,0.5550206327372765,0.5934065934065934,0.4239766081871345,0.0,0.24369747899159663,0.0,0.30949839914621136,0.0,0.5071805206366597,0.5
12,1454,0.72741683631459,0.7005206811559069,0.5392022008253095,0.5934065934065934,0.4005305039787798,0.0,0.253781512605042,0.0,0.3106995884773662,0.0,0.49534244431183416,0.5
13,1454,0.7237091076802437,0.6810091275435227,0.5495185694635488,0.5934065934065934,0.41379310344827586,0.0,0.24201680672268908,0.0,0.3054082714740191,0.0,0.5022656792635565,0.5
14,1454,0.726271223891757,0.6837991420384292,0.5412654745529574,0.5934065934065934,0.40575916230366493,0.0,0.2605042016806723,0.0,0.31729785056294785,0.0,0.49812171667269933,0.5
15,1454,0.7262777821500331,0.6786756600652423,0.53232462173315,0.5934065934065934,0.37388724035608306,0.0,0.21176470588235294,0.0,0.2703862660944206,0.0,0.4830651236047387,0.5
16,1454,0.7210069256930765,0.6948729321196839,0.5440165061898212,0.5934065934065934,0.403954802259887,0.0,0.24033613445378152,0.0,0.3013698630136986,0.0,0.49735083789045303,0.5
17,1454,0.7185362839182272,0.6992066219285294,0.5598349381017882,0.5934065934065934,0.4424552429667519,0.0,0.2907563025210084,0.0,0.3509127789046653,0.0,0.518486416685417,0.5
18,1454,0.7221964529857675,0.6756921918182582,0.5357634112792297,0.5934065934065934,0.3888888888888889,0.0,0.23529411764705882,0.0,0.2931937172774869,0.0,0.48959117989454226,0.5
19,1454,0.7143382550546441,0.741521343752578,0.5605226960110041,0.5934065934065934,0.44021739130434784,0.0,0.2722689075630252,0.0,0.3364485981308411,0.0,0.5162275853298245,0.5
20,1454,0.7231657360456217,0.6817480292949047,0.5495185694635488,0.5934065934065934,0.41847826086956524,0.0,0.25882352941176473,0.0,0.319833852544133,0.0,0.5048483188385948,0.5
